FUNCTION_SIGNATURE,ABSmell,LocationSmell,ConstantsSmell,NestingSmell,LOC,LOAC,LOFC,NOFL,NOFC_Dup,NOFC_NonDup,NONEST,NONEG,Smelly
static void tex_ptr_off(ALLEGRO_DISPLAY * display),"2,0666666","1,0666667",1,0,15,8,8,2,2,2,0,0,False
"static bool create_buffer_common(ALLEGRO_BUFFER_COMMON * common, GLenum type, const void * initial_data, int size, int flags)","1,1666666","0,16666667",1,0,30,5,5,1,1,1,0,1,True
static void assert_sorted_names(void),"1,7692308","0,7692308",1,0,13,10,10,1,1,1,0,0,False
"int _al_draw_prim_opengl(ALLEGRO_BITMAP * target, ALLEGRO_BITMAP * texture, const void * vtxs, const ALLEGRO_VERTEX_DECL * decl, int start, int end, int type)","3,1","1,6","1,5",0,15,12,23,2,3,2,0,1,False
size_t curlx_sitouz(int sinum),"2,1666665","1,1666666",1,0,12,7,7,2,2,1,0,0,False
"enum resolve_t Curl_resolv_timeout(struct connectdata * conn, const char * hostname, int port, struct Curl_dns_entry * * entry, timediff_t timeoutms)","16,41817","13,85567","1,3125","1,25",97,84,165,16,21,6,20,7,True
"static CURLcode gtls_connect_step3(struct connectdata * conn, int sockindex)","7,074803","5,574803","1,0833334","0,41666666",381,177,198,12,13,8,5,3,True
"static CURLcode bindlocal(struct connectdata * conn, curl_socket_t sockfd, int af, unsigned int scope)","3,3084795","2,0584795",1,"0,25",171,44,53,8,8,3,2,0,True
"static CURLcode Curl_ldap(struct connectdata * conn, bool * done)","23,463072","21,609413","1,3902439","0,46341464",425,224,693,41,57,7,19,13,True
"static CURLcode gtls_connect_step1(struct connectdata * conn, int sockindex)","14,310893","12,960894","1,2","0,15",358,232,312,20,24,13,3,8,True
struct timeval tvnow(void) #2,"2,4473684","0,94736844","1,5",0,19,9,16,2,3,2,0,1,True
"static CURLcode ossl_connect_step1(struct connectdata * conn, int sockindex)","27,802431","26,029703","1,3863636","0,38636363",404,239,436,44,61,30,17,11,True
"static void _state(struct connectdata * conn, ftpstate newstate #if defined(DEBUGBUILD), int lineno #endif)","4,6","2,6","1,25","0,75",20,13,28,4,5,3,3,1,True
"const char * Curl_strerror(int err, char * buf, size_t buflen)","13,1","7,2000003","3,3","2,6",75,54,359,10,33,9,26,7,True
curl_version_info_data * curl_version_info(CURLversion stamp),"17,482676","15,835617","1,2941177","0,3529412",73,68,100,17,22,14,6,3,True
"static bool verifyconnect(curl_socket_t sockfd, int * error)","8,982143","6,125","1,4285715","1,4285715",40,35,75,7,10,6,10,2,True
struct timeval tutil_tvnow(void) #2,"2,4473684","0,94736844","1,5",0,19,9,16,2,3,2,0,1,True
static bool incoming(curl_socket_t listenfd),"1,0612245","0,06122449",1,0,98,6,6,1,1,1,0,0,False
void Curl_resolver_global_cleanup(void),"1,5","0,5",1,0,6,3,3,1,1,1,0,0,False
"static void tcpnodelay(struct connectdata * conn, curl_socket_t sockfd)","5,65","3,4","1,5","0,75",20,17,32,4,6,3,3,4,True
"static CURLcode parse_connect_to_slist(struct Curl_easy * data, struct connectdata * conn, struct curl_slist * conn_to_host)","4,3067007","2,556701",1,"0,75",97,62,76,4,4,3,3,0,True
int main(void),"1,048387","0,048387095",1,0,62,3,3,1,1,1,0,0,False
"bool Curl_is_absolute_url(const char * url, char * buf, size_t buflen)","1,173913","0,17391305",1,0,23,4,4,1,1,1,0,0,False
"CURLcode Curl_ntlm_core_mk_lm_hash(struct Curl_easy * data, const char * password, unsigned char * lmbuffer)","7,333333","2,3333333",5,0,48,28,129,4,20,9,0,6,True
"static CURLcode wolfssl_connect_step2(struct connectdata * conn, int sockindex)","6,7256494","5,3506494","1,25","0,125",154,103,119,8,10,5,1,3,True
"static void query_completed_cb(void * arg, int status, #if defined(HAVE_CARES_CALLBACK_TIMEOUTS) int timeouts, #endif struct hostent * hostent)","1,3529412","0,3529412",1,0,34,6,6,2,2,1,0,0,False
static int Curl_ossl_check_cxn(struct connectdata * conn),"9,031359","6,317073","1,4285715","1,2857143",41,37,64,7,10,9,9,1,True
"static void mystate(struct connectdata * conn, sshstate nowstate #if defined(DEBUGBUILD), int lineno #endif)","3,3461537","1,8461539","1,5",0,78,72,141,2,3,2,0,1,False
void set_binmode(FILE * stream),"5,25",3,"1,5","0,75",12,9,22,4,6,3,3,2,True
"void * curl_dbg_realloc(void * ptr, size_t wantedsize, int line, const char * source)","1,5","0,5",1,0,28,7,7,2,2,1,0,0,False
"CURLcode Curl_auth_create_ntlm_type3_message(struct Curl_easy * data, const char * userp, const char * passwdp, struct ntlmdata * ntlm, char * * outptr, size_t * outlen)","1,2727273","0,27272728",1,0,66,18,18,1,1,1,0,0,False
"size_t tool_write_cb(char * buffer, size_t sz, size_t nmemb, void * userdata)","3,1130435","2,1130435",1,0,115,81,81,3,3,2,0,0,False
"static void show_verbose_server_cert(struct connectdata * conn, int sockindex)","7,5758243","4,175824",2,"1,4",91,76,306,5,10,4,7,2,True
CF_INLINE CFStringRef getsubject(SecCertificateRef cert),"4,797619","3,047619","1,25","0,5",21,16,42,4,5,4,2,1,True
char * curl_version(void),"22,263447","20,917292","1,2307693","0,115384616",133,107,138,26,32,16,3,2,True
"void Curl_updateconninfo(struct connectdata * conn, curl_socket_t sockfd)","7,5","5,3333335","1,5","0,6666667",54,48,137,6,9,3,4,1,True
"void Curl_ntlm_core_lm_resp(const unsigned char * keys, const unsigned char * plaintext, unsigned char * results)","8,5348835","3,5348837",5,0,43,38,169,4,20,9,0,6,True
static CURLcode ssh_knownhost(struct connectdata * conn),"9,835145","7,710145","1,25","0,875",138,133,186,8,10,7,7,2,True
"static OSStatus CopyIdentityFromPKCS12File(const char * cPath, const char * cPassword, SecIdentityRef * out_cert_and_key)","6,104478","3,1044776","1,75","1,25",67,52,152,4,7,3,5,1,True
"Curl_addrinfo * Curl_ipv4_resolve_r(const char * hostname, int port)","9,77027","5,7702703","2,7142856","1,2857143",74,61,281,7,19,6,9,7,True
"CURLcode Curl_vsetopt(struct Curl_easy * data, CURLoption option, va_list param)","40,116207","38,673347","1,2428571","0,2",1696,937,1152,70,87,30,14,59,True
"static size_t Curl_ossl_version(char * buffer, size_t size)","10,81978","6,6769233","3,2857144","0,85714287",65,62,347,7,23,6,6,9,True
static int setup(CURL * hnd),"1,1764706","0,1764706",1,0,17,3,3,1,1,1,0,0,False
CURLMcode curl_multi_wakeup(struct Curl_multi * multi),"4,6904764","2,357143","1,3333334",1,28,22,35,3,4,3,3,1,True
"static CURLcode set_ssl_version_min_max(struct connectdata * conn, int sockindex)","5,633721","2,8837209","2,5","0,25",86,62,169,4,10,7,1,1,True
int Curl_wait_ms(int timeout_ms),"6,3586206","2,7586207","2,6",1,29,16,90,5,13,4,5,6,True
"static int select_next_proto_cb(SSL * ssl, unsigned char * * out, unsigned char * outlen, const unsigned char * in, unsigned int inlen, void * arg)","1,3333334","0,33333334",1,0,30,10,10,1,1,1,0,0,True
static bool dprintf_IsQualifierNoDollar(const char * fmt),"1,7619047","0,7619048",1,0,21,8,8,2,2,1,0,0,False
"static bool juggle(curl_socket_t * sockfdp, curl_socket_t listenfd, enum sockmode * mode)","1,031915","0,031914894",1,0,188,6,6,1,1,1,0,0,False
static void install_signal_handlers(void),"5,73125","4,53125","1,2",0,32,29,36,5,6,6,0,0,True
"static void zonefrom_url(CURLU * uh, struct connectdata * conn)","6,299107","4,15625","1,5714285","0,5714286",32,19,49,7,11,5,4,4,True
struct curltime Curl_now(void) #1,"1,5833333","0,5833333",1,0,24,7,7,2,2,1,0,0,False
"static CURLcode ssh_block_statemach(struct connectdata * conn, bool disconnect)","1,3333334","0,33333334",1,0,42,14,14,1,1,1,0,0,False
"CURLcode Curl_idnconvert_hostname(struct connectdata * conn, struct hostname * host)","8,285714","5,714286","2,142857","0,42857143",49,40,93,7,15,5,3,7,True
"static size_t mime_subparts_read(char * buffer, size_t size, size_t nitems, void * instream, bool * hasread)","2,6463416","1,6463416",1,0,82,27,27,5,5,1,0,0,False
"static CURLcode Curl_mbedtls_random(struct Curl_easy * data, unsigned char * entropy, size_t length)","6,934884","4,534884",2,"0,4",43,39,70,5,10,4,2,3,True
int test(char * URL),"11,049613","8,449613","2,4","0,2",129,109,264,10,24,6,2,4,True
static void Curl_ossl_cleanup(void),"8,478022","6,1923075","1,5714285","0,71428573",26,23,73,7,11,7,5,4,True
"static void state(struct SASL * sasl, struct connectdata * conn, saslstate newstate)","4,177419","1,6774193","2,5",0,31,26,57,2,5,3,0,3,False
"static CURLcode get_cert_chain(struct connectdata * conn, struct ssl_connect_data * connssl)","11,827046","9,88587","1,5882353","0,3529412",184,107,211,17,27,6,6,9,True
"CURLcode Curl_http2_stream_pause(struct Curl_easy * data, bool pause)","3,0789475","1,5789474",1,"0,5",38,30,39,2,2,2,1,0,True
static CURLcode ssh_force_knownhost_key_type(struct connectdata * conn),"10,497585","8,608696",1,"0,8888889",115,110,146,9,9,5,8,0,True
"static CURLcode wolfssl_connect_step1(struct connectdata * conn, int sockindex)","12,341684","10,868","1,2631578","0,21052632",250,143,183,19,24,10,4,6,True
unsigned short curlx_ultous(unsigned long ulnum),"2,1666665","1,1666666",1,0,12,7,7,2,2,1,0,0,False
"CURLcode Curl_http_input_auth(struct connectdata * conn, bool proxy, const char * auth)","4,437705","3,237705",1,"0,2",122,79,92,5,5,4,1,1,True
unsigned short curlx_uitous(unsigned int uinum),"2,1666665","1,1666666",1,0,12,7,7,2,2,1,0,0,False
"static CURLcode readwrite_upload(struct Curl_easy * data, struct connectdata * conn, int * didwhat)","1,1515151","0,15151516",1,0,132,10,10,2,2,2,0,1,False
"static int ldap_win_bind(struct connectdata * conn, LDAP * server, const char * user, const char * passwd)","1,25","0,25",1,0,20,5,5,1,1,1,0,0,False
int wait_ms(int timeout_ms),"8,164596","5,021739","2,2857144","0,85714287",46,33,138,7,16,4,6,9,True
static int Curl_ossl_init(void),"9,465278","7,6875","1,4444444","0,33333334",48,41,65,9,13,8,3,6,True
static void install_signal_handlers(void),"6,705128","5,5384617","1,1666666",0,39,36,43,6,7,7,0,0,True
"static int Curl_sectransp_shutdown(struct connectdata * conn, int sockindex)","1,1025641","0,102564104",1,0,39,4,4,1,1,1,0,1,False
int64_t av_gettime_relative(void),"3,4285715","1,4285715","1,5","0,5",14,10,23,2,3,3,1,0,True
void ff_aac_coder_init_mips(AACEncContext * c),"6,3055553","3,5555556","1,25","1,5",18,16,50,4,5,4,6,2,True
"static void nvenc_print_driver_requirement(AVCodecContext * avctx, int level)","25,582771","14,27027","6,75","4,5625",37,33,460,16,108,4,73,40,True
"static void FUNC(put_hevc_qpel_uni_hv)(uint8_t * _dst, ptrdiff_t _dststride, uint8_t * _src, ptrdiff_t _srcstride, int height, intptr_t mx, intptr_t my, int width)","1,7857143","0,2857143","1,5",0,35,5,9,2,3,2,0,1,False
av_cold void ff_fft_init_mips(FFTContext * s),"4,4666667","1,8000001","1,3333334","1,3333334",15,9,27,3,4,4,4,2,True
"static void dump_video_param(AVCodecContext * avctx, QSVEncContext * q, mfxExtBuffer * * coding_opts)","13,67509","12,322148",1,"0,3529412",149,108,155,17,17,14,6,0,True
static av_cold int aac_decode_init(AVCodecContext * avctx),"2,729114","1,329114","1,4",0,79,21,29,5,7,2,0,3,False
"static int vulkan_device_derive(AVHWDeviceContext * ctx, AVHWDeviceContext * src_ctx, int flags)","3,8424242","2,509091",1,"0,33333334",55,46,61,3,3,3,1,0,True
"static inline void RENAME(deInterlaceInterpolateCubic)(uint8_t src[], int stride)","7,666667","4,6666665","2,2","0,8",45,42,162,5,11,4,4,2,True
static av_cold void RENAME(rgb2rgb_init)(void),"10,142858","6,571429","2,142857","1,4285715",49,46,109,7,15,8,10,6,True
"static int read_shape_from_file(int * cols, int * rows, int * * values, const char * filename, void * log_ctx)","1,21875","0,21875",1,0,64,14,14,1,1,1,0,0,False
"static int http_read_stream(URLContext * h, uint8_t * buf, int size)","1,0930233","0,093023255",1,0,43,4,4,1,1,1,0,0,False
av_cold void ff_dct_encode_init_x86(MpegEncContext * s),"6,505377","4,83871","1,3333334","0,33333334",31,25,39,6,8,5,2,0,True
av_cold void ff_rv40dsp_init_x86(RV34DSPContext * c),"6,277419","4,677419",1,"0,6",62,58,67,5,5,3,3,0,True
"unsigned long av_adler32_update(unsigned long adler, const uint8_t * buf, unsigned int len)","6,25",3,"2,5","0,75",48,36,132,4,10,5,3,4,True
"static int FUNC(sei_buffering_period)(CodedBitstreamContext * ctx, RWContext * rw, H265RawSEIBufferingPeriod * current, uint32_t * payload_size)","1,878788","0,54545456","1,3333334",0,88,16,21,3,4,2,0,1,False
"static av_always_inline int dv_set_class_number_sd(DVVideoContext * s, int16_t * blk, EncBlockInfo * bi, const uint8_t * zigzag_scan, const int * weight, int bias)","1,0491803","0,04918033",1,0,61,3,3,1,1,1,0,1,False
void av_frame_unref(AVFrame * frame),"1,2272727","0,22727273",1,0,22,5,5,1,1,1,0,0,False
"void ff_hyscale_fast_mmxext(SwsContext * c, int16_t * dst, int dstWidth, const uint8_t * src, int srcW, int xInc)","9,885844","8,219178","1,4","0,26666668",73,40,84,15,21,3,4,9,True
void * av_malloc(size_t size),"8,147619","4,4333334",3,"0,71428573",30,19,86,7,21,6,5,11,True
"int avpriv_tempfile(const char * prefix, char * * filename, int log_offset, void * log_ctx)","6,7968254","4,5111113","1,5714285","0,71428573",45,29,69,7,11,7,5,8,True
"static int compare_sl(FlashSV2Context * s, Block * b, const uint8_t * src, uint8_t * frame, uint8_t * key, int y, int keyframe)","1,1764706","0,1764706",1,0,17,3,3,1,1,1,0,1,False
static int udp_close(URLContext * h),"4,888889","2,8888888","1,25","0,75",36,26,36,4,5,3,3,1,True
"static inline void RENAME(tempNoiseReducer)(uint8_t * src, int stride, uint8_t * tempBlurred, uint32_t * tempBlurredPast, const int * maxNoise)","158,64151","30,359457","65,15385","63,128204",1327,1033,398299,39,2541,92,2462,45,True
"static int open_url_keepalive(AVFormatContext * s, AVIOContext * * pb, const char * url, AVDictionary * * options)","3,0294118","1,5294118","1,5",0,17,13,25,2,3,2,0,3,False
av_cold void ff_mpadsp_init_x86(MPADSPContext * s),"5,1111116","3,1111112","1,2","0,8",45,28,59,5,6,6,4,0,True
static int create_stream(AVFormatContext * s),"1,1","0,1",1,0,60,6,6,1,1,1,0,0,False
void ff_sbrdsp_init_mips(SBRDSPContext * s),"5,5714283","2,5714285","1,3333334","1,6666666",21,18,56,3,4,4,5,2,True
static int read_key(void),"4,659091","2,659091","1,6666666","0,33333334",44,39,108,3,5,4,1,1,True
"static int vulkan_map_from(AVHWFramesContext * hwfc, AVFrame * dst, const AVFrame * src, int flags)","2,5526316","1,0526316",1,"0,5",19,10,15,2,2,2,1,0,True
"static inline void postProcess(const uint8_t src[], int srcStride, uint8_t dst[], int dstStride, int width, int height, const int8_t QPs[], int QPStride, int isColor, pp_mode * vm, pp_context * vc)","13,222222",6,"3,7777777","3,4444444",33,22,135,9,34,9,31,12,True
"av_cold void ff_h264dsp_init_x86(H264DSPContext * c, const int bit_depth, const int chroma_format_idc)","10,93111","8,82","1,1111112",1,200,196,247,9,10,5,9,0,True
av_cold void ff_dwt_init_x86(SnowDWTContext * c),"6,264286","4,464286",1,"0,8",28,25,37,5,5,3,4,0,True
"static int vulkan_map_to(AVHWFramesContext * hwfc, AVFrame * dst, const AVFrame * src, int flags)","2,5526316","1,0526316",1,"0,5",19,10,15,2,2,2,1,0,True
"static inline void yuvPlanartouyvy_c(const uint8_t * ysrc, const uint8_t * usrc, const uint8_t * vsrc, uint8_t * dst, int width, int height, int lumStride, int chromStride, int dstStride, int vertLumPerChroma)","4,771739","2,5217392","1,5","0,75",46,29,58,4,6,3,3,2,True
"av_cold void INIT_FUNC(VP9DSPContext * dsp, int bitexact)","7,7666664","5,6","1,1666666",1,60,56,83,6,7,4,6,1,True
static int file_delete(URLContext * h),"4,216667","2,5500002","1,3333334","0,33333334",20,17,24,3,4,3,1,1,True
"static int mov_write_tmcd_tag(AVIOContext * pb, MOVTrack * track)","2,3533335","1,02","1,3333334",0,50,17,22,3,4,2,0,2,False
static void vaapi_vpp_fill_colour_range(VAAPIColourProperties * props),"3,1666665","1,6666666","1,5",0,18,15,19,2,3,2,0,1,False
int ff_get_cpu_flags_x86(void),"6,9663553","4,766355",1,"1,2",107,102,154,5,5,5,6,0,True
"static void hpeldsp_init_mmx(HpelDSPContext * c, int flags)","1,2352941","0,23529412",1,0,17,4,4,1,1,1,0,0,False
void ff_psdsp_init_mips(PSDSPContext * s),"5,4","2,4","1,3333334","1,6666666",15,12,32,3,4,4,5,2,True
"static int vaapi_device_create(AVHWDeviceContext * ctx, const char * device, AVDictionary * opts, int flags)","5,6007195","4,1007195","1,1666666","0,33333334",139,95,124,6,7,5,2,1,True
int ff_get_cpu_flags_ppc(void),"17,76044","9,56044","3,8","4,4",91,87,686,10,38,9,44,13,True
"static void imdct_and_windowing_ld(AACContext * ac, SingleChannelElement * sce)","1,5833333","0,5833333",1,0,24,7,7,2,2,1,0,0,False
"static inline void RENAME(dering)(uint8_t src[], int stride, PPContext * c)","12,788477","9,888476","1,8","1,1",269,266,1036,10,18,5,11,4,True
"av_cold void ff_videodsp_init_x86(VideoDSPContext * ctx, int bpc)","5,35","3,6",1,"0,75",30,27,45,4,4,3,3,0,True
"int ff_startcode_find_candidate_c(const uint8_t * buf, int size)","4,289855","1,9565217","1,3333334",1,23,15,36,3,4,3,3,1,True
av_cold SwsFunc ff_yuv2rgb_init_x86(SwsContext * c),"6,51831","4,71831",1,"0,8",71,67,79,5,5,2,4,0,True
"av_cold void ff_proresdsp_init_x86(ProresDSPContext * dsp, AVCodecContext * avctx)","1,8125","0,8125",1,0,16,13,13,1,1,1,0,0,False
int av_gettime_relative_is_monotonic(void),"4,5833335","2,25",2,"0,33333334",12,9,27,3,6,4,1,1,True
void ff_tls_deinit(void),"3,848485","2,1818182",1,"0,6666667",11,8,14,3,3,3,2,0,True
int ff_tls_init(void),"3,8095238","2,142857",1,"0,6666667",14,10,18,3,3,3,2,0,True
"static int file_check(URLContext * h, int mask)","5,55","2,8",2,"0,75",30,21,65,4,8,4,3,4,True
"int avcodec_copy_context(AVCodecContext * dest, const AVCodecContext * src)","1,0909091","0,09090909",1,0,55,5,5,1,1,1,0,0,False
av_cold void ff_mpadsp_init_ppc(MPADSPContext * s),"1,625","0,625",1,0,8,5,5,1,1,1,0,0,False
void ff_aacsbr_func_ptr_init_mips(AACSBRContext * c),"5,307692","2,3076923","1,3333334","1,6666666",13,10,24,3,4,4,5,2,True
"static void * do_xmalloc(size_t size, int gentle)","1,1304348","0,13043478",1,0,23,3,3,1,1,1,0,0,False
"static int ssl_socket_connect(struct imap_socket * sock, int use_tls_only, int verify) #2","1,8172044","0,48387095","1,3333334",0,62,10,14,3,4,3,0,1,False
"int git_open_cloexec(const char * name, int flags)","3,4761906","0,47619048",3,0,21,10,30,1,3,3,0,0,True
int term_columns(void),"1,35","0,35",1,0,20,7,7,1,1,1,0,0,False
"static void fetch_alternates(struct walker * walker, const char * base)","1,1351352","0,13513513",1,0,37,5,5,1,1,1,0,0,False
int daemonize(void),"3,2391305","1,7391304","1,5",0,23,20,38,2,3,2,0,1,False
static void lookup_hostname(struct hostinfo * hi),"3,2333333","1,7333333","1,5",0,45,39,58,2,3,2,0,3,False
"char * prefix_filename(const char * pfx, const char * arg)","1,1875","0,1875",1,0,16,3,3,1,1,1,0,0,False
"static int try_shell_exec(const char * cmd, char * const * argv)","1,0857143","0,08571429",1,0,35,3,3,1,1,1,0,1,False
"int cmd_main(int argc, const char * * argv)","2,4848485","0,8181819","1,6666666",0,55,15,28,3,5,3,0,3,False
static uint64_t total_ram(void),"8,059259","4,259259","3,2","0,6",27,23,126,5,16,6,3,4,True
int online_cpus(void),"12,9","7,4","2,75","2,75",40,37,257,8,22,10,22,6,True
void http_cleanup(void),"1,244898","0,24489796",1,0,49,6,6,2,2,2,0,1,False
"static int canonical_name(const char * host, struct strbuf * out)","3,0652175","1,5652174","1,5",0,23,18,26,2,3,2,0,3,False
void grep_destroy(void),"1,5","0,5",1,0,6,3,3,1,1,1,0,0,False
static NOINLINE threadcache * AllocCache(nedpool * p) THROWSPEC,"1,1428572","0,14285715",1,0,28,4,4,1,1,1,0,0,False
"static int setup_named_sock(char * listen_addr, int listen_port, struct socketlist * socklist) #1","1,1076924","0,10769231",1,0,65,7,7,1,1,1,0,0,False
"static int socket_write(struct imap_socket * sock, const char * buf, int len)","1,2941177","0,29411766",1,0,17,5,5,1,1,1,0,1,False
"static int update_one(struct cache_tree * it, struct cache_entry * * cache, int entries, const char * base, int baselen, int * skip_count, int flags)","1,1224489","0,12244898",1,0,147,9,9,2,2,1,0,0,False
int finish_async(struct async * async),"2,9545455","1,4545455","1,5",0,11,8,15,2,3,2,0,1,False
"int match_stat_data(const struct stat_data * sd, struct stat * st)","1,7333333","0,73333335",1,0,30,11,11,2,2,2,0,0,False
"int sane_execvp(const char * file, char * const argv[])",2,1,1,0,20,10,10,2,2,1,0,2,False
"int verify_path(const char * path, unsigned mode)","1,0833334","0,083333336",1,0,48,4,4,1,1,1,0,0,False
static FORCEINLINE unsigned int size2binidx(size_t _size) THROWSPEC,"8,375","4,375",3,1,40,35,235,5,15,3,5,6,True
static CURL * get_curl_handle(void),"10,710526","9,5","1,2105263",0,200,100,115,19,23,6,0,3,True
"static int add_send_request(struct object * obj, struct remote_lock * lock)","1,137931","0,13793103",1,0,29,4,4,1,1,1,0,0,False
"void grep_init(struct grep_opt * opt, struct repository * repo, const char * prefix)","1,5625","0,5625",1,0,32,9,9,2,2,2,0,0,False
void initialize_repository_version(int hash_algo),"1,2352941","0,23529412",1,0,17,4,4,1,1,1,0,1,False
static void run_request_queue(void),"2,9411764","1,9411765",1,0,17,11,11,3,3,1,0,0,True
static void socket_shutdown(struct imap_socket * sock),"1,5454545","0,54545456",1,0,11,6,6,1,1,1,0,1,False
"int poll(struct pollfd * pfd, nfds_t nfd, int timeout)","7,32","4,92","1,4",1,250,246,431,5,7,4,5,4,True
const char * find_hook(const char * name),"1,2413793","0,2413793",1,0,29,7,7,1,1,1,0,0,False
"int serpent_ecb_decrypt(const unsigned char * ct, unsigned char * pt, const symmetric_key * skey)","1,375","0,375",1,0,8,3,3,1,1,1,0,0,False
